duration,protocol_type,service,src_bytes,dst_bytes,flag,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,srv_serror_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_serror_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,label
0,tcp,other,66,0,OTH,28,76,0.0,1.0,0.0,0.0,0.63,28,76,1.0,0.0,0.36,0.0,0.63,0.0,Normal
0,tcp,other,66,0,OTH,8,7,0.0,0.38,0.62,0.0,0.57,8,7,0.38,0.62,0.12,0.0,0.57,0.0,Normal
0,tcp,http,60,0,S1,710,725,0.93,0.99,0.01,0.91,0.03,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,20,58,0.0,1.0,0.0,0.0,0.66,20,58,1.0,0.0,0.34,0.0,0.66,0.0,Normal
0,tcp,other,162,0,OTH,1,8,0.0,1.0,0.0,0.0,0.88,1,8,1.0,0.0,0.44,0.0,0.88,0.0,Normal
0,tcp,other,66,0,OTH,872,2110,0.0,1.0,0.0,0.0,0.59,44,97,1.0,0.0,0.45,0.0,0.55,0.0,Normal
0,tcp,http,787,679,SF,13,24,0.0,0.85,0.15,0.0,0.54,13,24,0.85,0.15,0.0,0.0,0.54,0.0,Normal
0,tcp,other,66,0,OTH,11,32,0.0,1.0,0.0,0.0,0.66,11,32,1.0,0.0,0.33,0.0,0.66,0.0,Normal
0,tcp,other,162,0,OTH,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0,tcp,other,306,0,OTH,7,29,0.0,1.0,0.0,0.0,0.76,2,9,1.0,0.0,0.5,0.0,0.78,0.0,Normal
0,tcp,http,60,0,S1,431,458,0.8,0.97,0.03,0.75,0.09,100,100,1.0,0.0,0.01,1.0,0.0,1.0,DoS
0,tcp,http,60,0,S1,951,969,0.94,0.99,0.01,0.93,0.02,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,7,11,0.0,0.71,0.29,0.0,0.55,7,11,0.71,0.29,0.08,0.0,0.55,0.0,Normal
0,tcp,http,237,0,OTH,0,1,0.0,0.0,0.0,0.0,1.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,Normal
0,tcp,http,60,0,S1,719,729,0.93,0.99,0.01,0.92,0.03,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,1524,2564,0.0,0.94,0.06,0.0,0.44,52,96,0.96,0.04,0.0,0.0,0.48,0.0,Normal
0,tcp,other,66,0,OTH,18,52,0.0,1.0,0.0,0.0,0.65,18,52,1.0,0.0,0.38,0.0,0.65,0.0,Normal
0,tcp,other,66,0,OTH,3,3,0.0,0.33,0.67,0.0,0.67,3,3,0.33,0.67,0.0,0.0,0.67,0.0,Normal
0,tcp,other,66,0,OTH,25,35,0.0,0.84,0.16,0.0,0.4,25,35,0.84,0.16,0.0,0.0,0.4,0.0,Normal
0,tcp,other,66,0,OTH,5,7,0.0,0.6,0.4,0.0,0.57,5,7,0.6,0.4,0.25,0.0,0.57,0.0,Normal
0,tcp,other,66,0,OTH,7,5,0.0,0.71,0.29,0.0,0.0,7,5,0.71,0.29,0.0,0.0,0.0,0.0,Normal
0,tcp,other,66,0,OTH,2,9,0.0,1.0,0.0,0.0,0.78,2,9,1.0,0.0,0.4,0.0,0.78,0.0,Normal
0,tcp,other,66,0,OTH,22,29,0.0,0.82,0.18,0.0,0.38,22,29,0.82,0.18,0.03,0.0,0.38,0.0,Normal
0,tcp,other,66,0,OTH,54,73,0.0,0.93,0.07,0.0,0.32,54,73,0.93,0.07,0.04,0.0,0.32,0.0,Normal
0,tcp,other,66,0,OTH,2,4,0.0,1.0,0.0,0.0,0.5,2,4,1.0,0.0,0.2,0.0,0.5,0.0,Normal
0,tcp,other,66,0,OTH,18,23,0.0,0.78,0.22,0.0,0.39,18,23,0.78,0.22,0.12,0.0,0.39,0.0,Normal
0,tcp,http,231,0,OTH,20,64,0.0,1.0,0.0,0.0,0.69,20,64,1.0,0.0,0.31,0.0,0.69,0.0,Normal
0,tcp,other,66,0,OTH,13,12,0.0,0.69,0.31,0.0,0.25,13,12,0.69,0.31,0.0,0.0,0.25,0.0,Normal
0,tcp,http,231,0,OTH,17,48,0.0,1.0,0.0,0.0,0.65,17,48,1.0,0.0,0.35,0.0,0.65,0.0,Normal
0,tcp,http,409,0,OTH,16,22,0.0,0.88,0.12,0.0,0.36,16,22,0.88,0.12,0.26,0.0,0.36,0.0,Normal
0,tcp,other,66,0,OTH,1,5,0.0,1.0,0.0,0.0,0.8,1,5,1.0,0.0,0.33,0.0,0.8,0.0,Normal
0,tcp,http,408,0,OTH,37,54,0.0,0.95,0.05,0.0,0.35,37,54,0.95,0.05,0.15,0.0,0.35,0.0,Normal
0,tcp,other,66,0,OTH,49,1417,0.0,1.0,0.0,0.0,0.97,0,92,0.0,0.0,0.45,0.0,1.0,0.0,Normal
0,tcp,http,60,0,S1,707,718,0.95,0.99,0.01,0.93,0.02,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,39,52,0.0,0.9,0.1,0.0,0.33,39,52,0.9,0.1,0.09,0.0,0.33,0.0,Normal
0,tcp,other,66,0,OTH,358,493,0.0,0.91,0.09,0.0,0.34,63,90,0.94,0.06,0.13,0.0,0.34,0.0,Normal
0,tcp,http,408,0,OTH,12,12,0.0,0.67,0.33,0.0,0.33,12,12,0.67,0.33,0.15,0.0,0.33,0.0,Normal
0,tcp,other,66,0,OTH,239,402,0.0,0.97,0.03,0.0,0.42,58,94,0.95,0.05,0.0,0.0,0.41,0.0,Normal
0,tcp,other,162,0,OTH,37,146,0.0,1.0,0.0,0.0,0.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0,tcp,other,66,0,OTH,951,2418,0.0,1.0,0.0,0.0,0.61,41,96,1.0,0.0,0.47,0.0,0.57,0.0,Normal
0,tcp,http,599,526,SF,65,95,0.0,0.91,0.09,0.0,0.38,61,88,0.9,0.1,0.0,0.0,0.38,0.0,Normal
0,tcp,other,66,0,OTH,1,7,0.0,1.0,0.0,0.0,0.86,1,7,1.0,0.0,0.38,0.0,0.86,0.0,Normal
0,tcp,other,66,0,OTH,4,5,0.0,1.0,0.0,0.0,0.2,4,5,1.0,0.0,0.0,0.0,0.2,0.0,Normal
0,tcp,http,232,0,OTH,26,79,0.0,1.0,0.0,0.0,0.67,26,79,1.0,0.0,0.33,0.0,0.67,0.0,Normal
0,tcp,http,232,0,OTH,10,36,0.0,1.0,0.0,0.0,0.72,10,36,1.0,0.0,0.32,0.0,0.72,0.0,Normal
0,tcp,other,66,0,OTH,42,1072,0.0,1.0,0.0,0.0,0.96,5,96,1.0,0.0,0.53,0.0,0.95,0.0,Normal
0,tcp,http,231,0,OTH,24,72,0.0,1.0,0.0,0.0,0.67,24,72,1.0,0.0,0.33,0.0,0.67,0.0,Normal
0,tcp,http,409,0,OTH,14,18,0.0,0.86,0.14,0.0,0.33,14,18,0.86,0.14,0.32,0.0,0.33,0.0,Normal
0,tcp,other,66,0,OTH,18,51,0.0,1.0,0.0,0.0,0.65,18,51,1.0,0.0,0.38,0.0,0.65,0.0,Normal
0,tcp,other,66,0,OTH,20,56,0.0,1.0,0.0,0.0,0.64,20,56,1.0,0.0,0.39,0.0,0.64,0.0,Normal
0,tcp,other,258,0,OTH,41,4,0.0,0.05,0.95,0.0,0.5,41,4,0.05,0.95,0.2,0.0,0.5,0.0,Normal
0,tcp,http,567,525,SF,38,59,0.0,0.95,0.05,0.0,0.39,38,59,0.95,0.05,0.0,0.0,0.39,0.0,Normal
0,tcp,http,567,525,SF,19,21,0.0,0.74,0.26,0.0,0.33,19,21,0.74,0.26,0.0,0.0,0.33,0.0,Normal
0,tcp,other,66,0,OTH,623,1030,0.0,0.93,0.07,0.0,0.44,59,89,0.9,0.1,0.01,0.0,0.4,0.0,Normal
0,tcp,other,66,0,OTH,255,401,0.0,0.94,0.06,0.0,0.4,59,92,0.93,0.07,0.0,0.0,0.4,0.0,Normal
0,tcp,http,566,525,SF,7,12,0.0,1.0,0.0,0.0,0.42,7,12,1.0,0.0,0.0,0.0,0.42,0.0,Normal
0,tcp,other,66,0,OTH,626,1068,0.0,0.96,0.04,0.0,0.44,59,96,0.97,0.03,0.04,0.0,0.41,0.0,Normal
0,tcp,other,66,0,OTH,33,44,0.0,0.88,0.12,0.0,0.34,33,44,0.88,0.12,0.11,0.0,0.34,0.0,Normal
0,tcp,other,66,0,OTH,64,87,0.0,0.91,0.09,0.0,0.33,64,87,0.91,0.09,0.0,0.0,0.33,0.0,Normal
0,tcp,http,567,525,SF,28,35,0.0,0.79,0.21,0.0,0.37,28,35,0.79,0.21,0.0,0.0,0.37,0.0,Normal
0,tcp,http,60,0,S1,648,655,0.96,0.99,0.01,0.95,0.02,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,975,1629,0.0,0.96,0.04,0.0,0.43,60,96,0.97,0.03,0.0,0.0,0.4,0.0,Normal
0,tcp,other,258,0,OTH,0,2,0.0,0.0,0.0,0.0,1.0,0,2,0.0,0.0,0.33,0.0,1.0,0.0,Normal
0,tcp,http,238,0,OTH,1,3,0.0,1.0,0.0,0.0,0.67,1,3,1.0,0.0,0.25,0.0,0.67,0.0,Normal
0,tcp,other,162,0,OTH,18,9,0.0,0.28,0.72,0.0,0.44,18,9,0.28,0.72,0.2,0.0,0.44,0.0,Normal
0,tcp,other,66,0,OTH,210,444,0.0,1.0,0.0,0.0,0.53,49,96,1.0,0.0,0.51,0.0,0.49,0.0,Normal
0,tcp,other,66,0,OTH,261,415,0.0,0.89,0.11,0.0,0.44,58,98,0.97,0.03,0.0,0.0,0.43,0.0,Normal
0,tcp,other,66,0,OTH,22,26,0.0,0.82,0.18,0.0,0.31,22,26,0.82,0.18,0.11,0.0,0.31,0.0,Normal
0,tcp,other,66,0,OTH,9,12,0.0,0.78,0.22,0.0,0.42,9,12,0.78,0.22,0.15,0.0,0.42,0.0,Normal
0,tcp,other,66,0,OTH,79,118,0.0,0.92,0.08,0.0,0.38,60,95,0.95,0.05,0.0,0.0,0.4,0.0,Normal
0,tcp,other,66,0,OTH,263,394,0.0,0.89,0.11,0.0,0.4,63,77,0.81,0.19,0.1,0.0,0.34,0.0,Normal
0,tcp,other,66,0,OTH,3,3,0.0,1.0,0.0,0.0,0.0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,Normal
0,tcp,http,409,0,OTH,32,41,0.0,0.81,0.19,0.0,0.37,32,41,0.81,0.19,0.14,0.0,0.37,0.0,Normal
0,tcp,other,66,0,OTH,37,54,0.0,0.95,0.05,0.0,0.35,37,54,0.95,0.05,0.24,0.0,0.35,0.0,Normal
0,tcp,other,258,0,OTH,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0,tcp,http,232,0,OTH,18,54,0.0,1.0,0.0,0.0,0.67,18,54,1.0,0.0,0.33,0.0,0.67,0.0,Normal
0,tcp,http,599,526,SF,91,132,0.0,0.93,0.07,0.0,0.36,63,96,0.97,0.03,0.0,0.0,0.36,0.0,Normal
0,tcp,other,66,0,OTH,190,525,0.0,1.0,0.0,0.0,0.64,30,93,1.0,0.0,0.45,0.0,0.68,0.0,Normal
0,tcp,http,60,0,S1,598,627,0.88,0.99,0.01,0.84,0.06,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,40,53,0.0,0.9,0.1,0.0,0.32,40,53,0.9,0.1,0.06,0.0,0.32,0.0,Normal
0,tcp,http,238,0,OTH,0,587,0.0,0.0,0.0,0.0,1.0,0,96,0.0,0.0,0.47,0.0,1.0,0.0,Normal
0,tcp,http,264,0,OTH,6,20,0.0,1.0,0.0,0.0,0.7,6,20,1.0,0.0,0.33,0.0,0.7,0.0,Normal
0,tcp,other,66,0,OTH,4,3,0.0,0.25,0.75,0.0,0.67,4,3,0.25,0.75,0.0,0.0,0.67,0.0,Normal
0,tcp,http,231,0,OTH,21,73,0.0,1.0,0.0,0.0,0.71,21,73,1.0,0.0,0.31,0.0,0.71,0.0,Normal
0,tcp,other,258,0,OTH,65,12,0.0,0.09,0.91,0.0,0.5,53,4,0.04,0.96,0.2,0.0,0.5,0.0,Normal
0,tcp,http,599,525,SF,2,1,0.0,0.5,0.5,0.0,0.0,2,1,0.5,0.5,0.0,0.0,0.0,0.0,Normal
0,tcp,http,232,0,OTH,31,81,0.0,1.0,0.0,0.0,0.62,31,81,1.0,0.0,0.38,0.0,0.62,0.0,Normal
0,tcp,other,66,0,OTH,61,88,0.0,0.93,0.07,0.0,0.35,61,88,0.93,0.07,0.0,0.0,0.35,0.0,Normal
0,tcp,other,66,0,OTH,23,3,0.0,0.04,0.96,0.0,0.67,23,3,0.04,0.96,0.0,0.0,0.67,0.0,Normal
0,tcp,other,66,0,OTH,32,92,0.0,1.0,0.0,0.0,0.65,32,92,1.0,0.0,0.34,0.0,0.65,0.0,Normal
0,tcp,http,599,526,SF,61,90,0.0,0.93,0.07,0.0,0.37,61,90,0.93,0.07,0.0,0.0,0.37,0.0,Normal
0,tcp,http,408,0,OTH,33,49,0.0,0.94,0.06,0.0,0.37,33,49,0.94,0.06,0.24,0.0,0.37,0.0,Normal
0,tcp,other,66,0,OTH,537,874,0.0,0.92,0.08,0.0,0.43,51,96,0.96,0.04,0.0,0.0,0.49,0.0,Normal
0,tcp,other,66,0,OTH,8,14,0.0,1.0,0.0,0.0,0.43,8,14,1.0,0.0,0.2,0.0,0.43,0.0,Normal
0,tcp,http,599,526,SF,4,3,0.0,0.5,0.5,0.0,0.33,4,3,0.5,0.5,0.0,0.0,0.33,0.0,Normal
0,tcp,http,409,0,OTH,48,67,0.0,0.92,0.08,0.0,0.34,48,67,0.92,0.08,0.15,0.0,0.34,0.0,Normal
0,tcp,other,66,0,OTH,2,8,0.0,1.0,0.0,0.0,0.75,2,8,1.0,0.0,0.22,0.0,0.75,0.0,Normal
0,tcp,other,66,0,OTH,40,94,0.0,1.0,0.0,0.0,0.57,40,92,1.0,0.0,0.45,0.0,0.57,0.0,Normal
0,tcp,other,66,0,OTH,368,545,0.0,0.91,0.09,0.0,0.39,58,92,0.93,0.07,0.0,0.0,0.41,0.0,Normal
0,tcp,other,66,0,OTH,2,4,0.0,1.0,0.0,0.0,0.5,2,4,1.0,0.0,0.2,0.0,0.5,0.0,Normal
0,tcp,http,60,0,S1,59,67,0.36,0.86,0.14,0.31,0.24,59,67,0.86,0.14,0.0,0.36,0.24,0.31,DoS
0,tcp,other,258,0,OTH,1,9,0.0,1.0,0.0,0.0,0.89,1,9,1.0,0.0,0.5,0.0,0.89,0.0,Normal
0,tcp,other,66,0,OTH,15,21,0.0,0.87,0.13,0.0,0.38,15,21,0.87,0.13,0.05,0.0,0.38,0.0,Normal
0,tcp,http,232,0,OTH,23,59,0.0,1.0,0.0,0.0,0.61,23,59,1.0,0.0,0.42,0.0,0.61,0.0,Normal
0,tcp,http,60,0,S1,818,830,0.95,0.99,0.01,0.93,0.02,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,19,18,0.0,0.68,0.32,0.0,0.28,19,18,0.68,0.32,0.16,0.0,0.28,0.0,Normal
0,tcp,other,66,0,OTH,33,485,0.0,1.0,0.0,0.0,0.93,0,100,0.0,0.0,0.37,0.0,1.0,0.0,Normal
0,tcp,other,66,0,OTH,23,78,0.0,1.0,0.0,0.0,0.71,23,78,1.0,0.0,0.29,0.0,0.71,0.0,Normal
0,tcp,http,599,526,SF,16,24,0.0,0.88,0.12,0.0,0.42,16,24,0.88,0.12,0.0,0.0,0.42,0.0,Normal
0,tcp,http,790,614,SF,8,12,0.0,0.75,0.25,0.0,0.5,8,12,0.75,0.25,0.0,0.0,0.5,0.0,Normal
0,tcp,other,66,0,OTH,33,43,0.0,0.88,0.12,0.0,0.33,33,43,0.88,0.12,0.11,0.0,0.33,0.0,Normal
0,tcp,http,409,0,OTH,33,47,0.0,0.88,0.12,0.0,0.38,33,47,0.88,0.12,0.08,0.0,0.38,0.0,Normal
0,tcp,http,409,0,OTH,31,42,0.0,0.94,0.06,0.0,0.31,31,42,0.94,0.06,0.0,0.0,0.31,0.0,Normal
0,tcp,other,66,0,OTH,9,2,0.0,0.0,1.0,0.0,1.0,9,2,0.0,1.0,0.0,0.0,1.0,0.0,Normal
0,tcp,http,60,0,S1,729,747,0.94,0.99,0.01,0.92,0.03,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,20,26,0.0,0.8,0.2,0.0,0.38,20,26,0.8,0.2,0.15,0.0,0.38,0.0,Normal
0,tcp,other,66,0,OTH,9,11,0.0,0.78,0.22,0.0,0.36,9,11,0.78,0.22,0.08,0.0,0.36,0.0,Normal
0,tcp,other,66,0,OTH,961,2403,0.0,1.0,0.0,0.0,0.6,39,100,1.0,0.0,0.42,0.0,0.61,0.0,Normal
0,tcp,other,66,0,OTH,259,436,0.0,0.94,0.06,0.0,0.44,60,88,0.88,0.12,0.0,0.0,0.4,0.0,Normal
0,tcp,http,599,525,SF,20,17,0.0,0.65,0.35,0.0,0.24,20,17,0.65,0.35,0.0,0.0,0.24,0.0,Normal
0,tcp,http,264,0,OTH,1,6,0.0,1.0,0.0,0.0,0.83,1,6,1.0,0.0,0.14,0.0,0.83,0.0,Normal
0,tcp,http,60,0,S1,961,988,0.93,0.99,0.01,0.9,0.03,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,18,24,0.0,0.89,0.11,0.0,0.33,18,24,0.89,0.11,0.12,0.0,0.33,0.0,Normal
0,tcp,other,66,0,OTH,11,9,0.0,0.64,0.36,0.0,0.22,11,9,0.64,0.36,0.1,0.0,0.22,0.0,Normal
0,tcp,other,162,0,OTH,5,16,0.0,1.0,0.0,0.0,0.69,5,16,1.0,0.0,0.47,0.0,0.69,0.0,Normal
0,tcp,other,66,0,OTH,166,462,0.0,1.0,0.0,0.0,0.64,34,92,1.0,0.0,0.45,0.0,0.63,0.0,Normal
0,tcp,other,66,0,OTH,54,76,0.0,0.89,0.11,0.0,0.37,54,76,0.89,0.11,0.01,0.0,0.37,0.0,Normal
0,tcp,other,66,0,OTH,1950,3157,0.0,0.94,0.06,0.0,0.42,65,96,0.97,0.03,0.11,0.0,0.34,0.0,Normal
0,tcp,other,66,0,OTH,71,11,0.0,0.07,0.93,0.0,0.55,65,5,0.05,0.95,0.17,0.0,0.4,0.0,Normal
0,tcp,http,60,0,S1,339,347,0.92,0.99,0.01,0.9,0.03,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,1,5,0.0,1.0,0.0,0.0,0.8,1,5,1.0,0.0,0.33,0.0,0.8,0.0,Normal
0,tcp,other,66,0,OTH,1570,115,0.0,0.04,0.96,0.0,0.5,57,7,0.05,0.95,0.12,0.0,0.57,0.0,Normal
0,tcp,http,408,0,OTH,38,57,0.0,0.95,0.05,0.0,0.37,38,57,0.95,0.05,0.07,0.0,0.37,0.0,Normal
0,tcp,other,66,0,OTH,37,15,0.0,0.22,0.78,0.0,0.47,37,15,0.22,0.78,0.19,0.0,0.47,0.0,Normal
0,tcp,http,599,525,SF,18,16,0.0,0.67,0.33,0.0,0.25,18,16,0.67,0.33,0.0,0.0,0.25,0.0,Normal
0,tcp,http,232,0,OTH,10,33,0.0,1.0,0.0,0.0,0.7,10,33,1.0,0.0,0.29,0.0,0.7,0.0,Normal
0,tcp,http,409,0,OTH,30,40,0.0,0.87,0.13,0.0,0.35,30,40,0.87,0.13,0.05,0.0,0.35,0.0,Normal
0,tcp,other,66,0,OTH,33,47,0.0,0.91,0.09,0.0,0.36,33,47,0.91,0.09,0.19,0.0,0.36,0.0,Normal
0,tcp,other,66,0,OTH,14,15,0.0,0.64,0.36,0.0,0.4,14,15,0.64,0.36,0.06,0.0,0.4,0.0,Normal
0,tcp,other,66,0,OTH,67,142,0.0,1.0,0.0,0.0,0.53,52,100,1.0,0.0,0.51,0.0,0.48,0.0,Normal
0,tcp,other,66,0,OTH,3,15,0.0,1.0,0.0,0.0,0.8,3,15,1.0,0.0,0.19,0.0,0.8,0.0,Normal
0,tcp,other,66,0,OTH,24,26,0.0,0.83,0.17,0.0,0.23,24,26,0.83,0.17,0.26,0.0,0.23,0.0,Normal
0,tcp,other,66,0,OTH,40,54,0.0,0.8,0.2,0.0,0.41,40,54,0.8,0.2,0.02,0.0,0.41,0.0,Normal
0,tcp,http,231,0,OTH,4,13,0.0,1.0,0.0,0.0,0.69,4,13,1.0,0.0,0.29,0.0,0.69,0.0,Normal
0,tcp,other,66,0,OTH,0,3,0.0,0.0,0.0,0.0,1.0,0,3,0.0,0.0,0.25,0.0,1.0,0.0,Normal
0,tcp,other,66,0,OTH,579,991,0.0,0.94,0.06,0.0,0.45,51,96,0.96,0.04,0.0,0.0,0.49,0.0,Normal
0,tcp,other,66,0,OTH,31,38,0.0,0.81,0.19,0.0,0.34,31,38,0.81,0.19,0.0,0.0,0.34,0.0,Normal
0,tcp,http,232,0,OTH,28,86,0.0,1.0,0.0,0.0,0.67,28,86,1.0,0.0,0.34,0.0,0.67,0.0,Normal
0,tcp,http,409,0,OTH,54,79,0.0,0.93,0.07,0.0,0.37,54,79,0.93,0.07,0.05,0.0,0.37,0.0,Normal
0,tcp,http,60,0,S1,255,269,0.84,0.97,0.03,0.8,0.08,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,33,84,0.0,1.0,0.0,0.0,0.61,33,84,1.0,0.0,0.45,0.0,0.61,0.0,Normal
0,tcp,other,66,0,OTH,1525,2673,0.0,0.96,0.04,0.0,0.45,55,96,0.96,0.04,0.03,0.0,0.45,0.0,Normal
0,tcp,other,66,0,OTH,19,26,0.0,0.89,0.11,0.0,0.35,19,26,0.89,0.11,0.26,0.0,0.35,0.0,Normal
0,tcp,http,790,682,SF,3,2,0.0,0.33,0.67,0.0,0.5,3,2,0.33,0.67,0.0,0.0,0.5,0.0,Normal
0,tcp,other,66,0,OTH,26,53,0.0,0.92,0.08,0.0,0.55,26,53,0.92,0.08,0.0,0.0,0.55,0.0,Normal
0,tcp,http,60,0,S1,405,425,0.87,0.99,0.01,0.83,0.06,100,100,1.0,0.0,0.0,1.0,0.0,1.0,DoS
0,tcp,other,66,0,OTH,22,28,0.0,0.82,0.18,0.0,0.36,22,28,0.82,0.18,0.0,0.0,0.36,0.0,Normal
0,tcp,http,599,525,SF,33,42,0.0,0.82,0.18,0.0,0.36,33,42,0.82,0.18,0.0,0.0,0.36,0.0,Normal
0,tcp,other,162,0,OTH,16,63,0.0,1.0,0.0,0.0,0.75,3,12,1.0,0.0,0.46,0.0,0.75,0.0,Normal
